Nº,Fecha,Día,Semana plan,Mes,Pilar,Tema del día,Formato,Guion/Estructura adaptada,Caption,Hashtags,CTA,Estado
329,2027-05-30,Domingo,47,Mayo,Venta,Problema — Lo que te cuesta dinero no siempre se ve a simple vista,Reel,"Gancho (0-2s): ""Lo que te cuesta dinero no siempre se ve a simple vista"". Desarrollo (3-15s): Explica cómo problema afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Lo que te cuesta dinero no siempre se ve a simple vista. Si tu negocio tiene relación con problema, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
330,2027-05-31,Lunes,48,Mayo,Marketing,Embudo — Muchos negocios confunden contenido con estrategia,Reel,"Gancho (0-2s): ""Muchos negocios confunden contenido con estrategia"". Desarrollo (3-15s): Explica cómo embudo afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Muchos negocios confunden contenido con estrategia. Todo empieza por embudo bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
331,2027-06-01,Martes,48,Junio,Fiscalidad,Gastos deducibles — 3 errores fiscales que te hacen perder dinero,Carrusel,"Portada: ""3 errores fiscales que te hacen perder dinero"". Slides 2-6: desarrollar gastos deducibles en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","3 errores fiscales que te hacen perder dinero. Esto pasa constantemente con gastos deducibles, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
332,2027-06-02,Miércoles,48,Junio,Mentalidad,Orden — La motivación no sostiene un negocio,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre orden, conectando la idea con tu experiencia real y tu visión de negocio.","La motivación no sostiene un negocio. Orden no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
333,2027-06-03,Jueves,48,Junio,Storytelling,Momento de claridad — Un cliente estuvo a punto de cerrar y el problema no era el impuesto,Reel,"Gancho (0-2s): ""Un cliente estuvo a punto de cerrar y el problema no era el impuesto"". Desarrollo (3-15s): Explica cómo momento de claridad afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Un cliente estuvo a punto de cerrar y el problema no era el impuesto. Esta historia sobre momento de claridad me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
334,2027-06-04,Viernes,48,Junio,IA,Productividad — La mayoría usa ChatGPT mal por este motivo,Carrusel,"Portada: ""La mayoría usa ChatGPT mal por este motivo"". Slides 2-6: desarrollar productividad en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La mayoría usa ChatGPT mal por este motivo. Así uso productividad para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
335,2027-06-05,Sábado,48,Junio,Marca personal,Visión — No todo lo importante cabe en un KPI,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre visión, conectando la idea con tu experiencia real y tu visión de negocio.","No todo lo importante cabe en un KPI. Hoy quiero hablarte de visión, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
336,2027-06-06,Domingo,48,Junio,Venta,Decisión — Seguir igual también tiene un precio,Reel,"Gancho (0-2s): ""Seguir igual también tiene un precio"". Desarrollo (3-15s): Explica cómo decisión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Seguir igual también tiene un precio. Si tu negocio tiene relación con decisión, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
337,2027-06-07,Lunes,49,Junio,Marketing,Visibilidad — No necesitas más seguidores,Reel,"Gancho (0-2s): ""No necesitas más seguidores"". Desarrollo (3-15s): Explica cómo visibilidad afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. No necesitas más seguidores. Todo empieza por visibilidad bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
338,2027-06-08,Martes,49,Junio,Fiscalidad,IRPF — Lo que Hacienda no te perdona aunque factures poco,Carrusel,"Portada: ""Lo que Hacienda no te perdona aunque factures poco"". Slides 2-6: desarrollar irpf en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Lo que Hacienda no te perdona aunque factures poco. Esto pasa constantemente con irpf, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
339,2027-06-09,Miércoles,49,Junio,Mentalidad,Enfoque — Tus hábitos también aparecen en tu facturación,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre enfoque, conectando la idea con tu experiencia real y tu visión de negocio.","Tus hábitos también aparecen en tu facturación. Enfoque no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
340,2027-06-10,Jueves,49,Junio,Storytelling,Error vivido — Esta historia explica por qué vender no basta,Reel,"Gancho (0-2s): ""Esta historia explica por qué vender no basta"". Desarrollo (3-15s): Explica cómo error vivido afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Esta historia explica por qué vender no basta. Esta historia sobre error vivido me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
341,2027-06-11,Viernes,49,Junio,IA,Organización — Automatizar no es deshumanizar,Carrusel,"Portada: ""Automatizar no es deshumanizar"". Slides 2-6: desarrollar organización en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Automatizar no es deshumanizar. Así uso organización para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
342,2027-06-12,Sábado,49,Junio,Marca personal,Libros — La autoridad también se siente antes de demostrarse,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre libros, conectando la idea con tu experiencia real y tu visión de negocio.","La autoridad también se siente antes de demostrarse. Hoy quiero hablarte de libros, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
343,2027-06-13,Domingo,49,Junio,Venta,"Urgencia — Si tu negocio factura pero no crece, mira esto",Reel,"Gancho (0-2s): ""Si tu negocio factura pero no crece, mira esto"". Desarrollo (3-15s): Explica cómo urgencia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Si tu negocio factura pero no crece, mira esto. Si tu negocio tiene relación con urgencia, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
344,2027-06-14,Lunes,50,Junio,Marketing,Oferta — Publicar más no arregla un mensaje débil,Reel,"Gancho (0-2s): ""Publicar más no arregla un mensaje débil"". Desarrollo (3-15s): Explica cómo oferta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Publicar más no arregla un mensaje débil. Todo empieza por oferta bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
345,2027-06-15,Martes,50,Junio,Fiscalidad,Obligaciones — Muchos pagan más impuestos por no entender esto,Carrusel,"Portada: ""Muchos pagan más impuestos por no entender esto"". Slides 2-6: desarrollar obligaciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Muchos pagan más impuestos por no entender esto. Esto pasa constantemente con obligaciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
346,2027-06-16,Miércoles,50,Junio,Mentalidad,Responsabilidad — Querer crecer sin enfoque es agotador,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre responsabilidad, conectando la idea con tu experiencia real y tu visión de negocio.","Querer crecer sin enfoque es agotador. Responsabilidad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
347,2027-06-17,Jueves,50,Junio,Storytelling,Conversación real — Lo que aprendí viendo negocios desde dentro,Reel,"Gancho (0-2s): ""Lo que aprendí viendo negocios desde dentro"". Desarrollo (3-15s): Explica cómo conversación real afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Lo que aprendí viendo negocios desde dentro. Esta historia sobre conversación real me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
348,2027-06-18,Viernes,50,Junio,IA,Asistentes IA — La IA sirve más cuando tu negocio ya tiene orden,Carrusel,"Portada: ""La IA sirve más cuando tu negocio ya tiene orden"". Slides 2-6: desarrollar asistentes ia en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La IA sirve más cuando tu negocio ya tiene orden. Así uso asistentes ia para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
349,2027-06-19,Sábado,50,Junio,Marca personal,"Tu historia — No construyes marca cuando finges, la construyes cuando sostienes",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre tu historia, conectando la idea con tu experiencia real y tu visión de negocio.","No construyes marca cuando finges, la construyes cuando sostienes. Hoy quiero hablarte de tu historia, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
350,2027-06-20,Domingo,50,Junio,Venta,"CTA — No siempre necesitas más clientes, necesitas mejores decisiones",Reel,"Gancho (0-2s): ""No siempre necesitas más clientes, necesitas mejores decisiones"". Desarrollo (3-15s): Explica cómo cta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","No siempre necesitas más clientes, necesitas mejores decisiones. Si tu negocio tiene relación con cta, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
351,2027-06-21,Lunes,51,Junio,Marketing,"Posicionamiento — Tu negocio no necesita hacerse viral, necesita ser recordado",Reel,"Gancho (0-2s): ""Tu negocio no necesita hacerse viral, necesita ser recordado"". Desarrollo (3-15s): Explica cómo posicionamiento afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Tu negocio no necesita hacerse viral, necesita ser recordado. Todo empieza por posicionamiento bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
352,2027-06-22,Martes,51,Junio,Fiscalidad,Errores fiscales — Este fallo fiscal es más común de lo que parece,Carrusel,"Portada: ""Este fallo fiscal es más común de lo que parece"". Slides 2-6: desarrollar errores fiscales en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Este fallo fiscal es más común de lo que parece. Esto pasa constantemente con errores fiscales, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
